#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
9d096b1e9ee2c1c1b69edf788c20d35c08c4be92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	16	0	0	264	0	450	0	0	0	0	0	0	0	0	0	29	0	28	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d6b20acffdb9ead00e5b215995cdb49288c5657	0	0	0	0	0	0	25	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	15	0	818	0	750	0	0	0	2
f476131e6ed02636edf00e34aff0d85a84374479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1446	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23fba0c922e7ac68b8a8952e5803934d29cc26a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1996	0	0	0	0	0	7	0	44	0	0	0	0	0	0	0	0	0	0	0
82eb87f908e447ffe36850f8bd49c2fdf84b61fd	0	0	343	0	0	21	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	0	370	0	0	29	0	31	0	0	0	6	0	14	0	204	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	5	0	0	0	0	0	96	0	353
fd5d7286b50ad6e38c94fd982402927948cda34d	0	762	0	0	227	0	11	0	0	78	0	0	0	37	0	76	0	0	0	8	0	2	0	0	0	0	0	0	0	47	0	0	37	0	43	0	131	40	0	0	81	0	0	9	0	0	8	0	0	0	0	0	138	0	7	0	18	0	11	37	4	0	0	0	0	0	0	192	0	0	19	0
a39c917c8669d2a378dda5ec8cff8e84a261fd69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	67	0	0	538	0	0	23	0	0	110	0	1123	0	19	0	21	0	13	0	25	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f4bd7d9a27468a99e9d6f2f9766f4b6597baf666	0	98	0	0	114	77	16	0	45	55	0	0	0	0	0	0	0	0	0	52	0	0	26	0	33	0	68	0	69	0	0	0	0	0	43	0	141	36	81	0	87	217	44	0	85	104	0	20	19	65	0	0	0	0	0	0	0	0	58	0	0	127	33	0	55	53	25	0	0	0	0	35
419f545c76ea79d79ff47946b42632e113821134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
516705d51641518b1404bdc5ed41f6b1fb9fd50e	0	14	0	8	13	16	0	0	10	23	0	38	26	71	6	98	31	280	52	91	33	32	0	362	0	21	0	59	9	8	0	0	4	2	55	10	8	10	15	52	73	147	5	0	66	11	0	24	13	16	8	5	90	0	0	0	0	4	11	0	0	0	0	0	0	2	0	9	0	0	0	0
50166c18e0fe97b5a7b50177a7a1860c23ec534e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0	0	0	0	0	0	0	0	0	0	62	13	0	406	0	0	0	0	73	0	0	207	0	0	0	0	6	0	0	0	41	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	72	0	0	0	0	0
f12fa06b369218302c19482e23401c494c583c71	0	0	0	0	67	0	0	0	200	0	0	0	0	117	6	49	0	0	0	0	64	0	8	0	0	42	0	213	0	25	7	0	24	10	0	0	90	44	14	0	0	0	15	20	21	0	27	43	0	207	0	0	42	0	13	0	145	0	72	0	0	0	0	0	0	25	0	300	0	0	0	0
840f94f41348c5294ad8a9eefab8e9e78576742f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	57	0	945	0	0	0	0	0	0	116	0	135	0	0	0	0	14	80	0	154	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4cd37cf4a74892eb1b08aa908cefab3f35a42ca2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	19	0	0	0	0	10	155	0	32	0	61	14	41	0	23	911	5	38	60	0	0	0	0	0	0	0	12	244	50	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0
0e0a42841b8d0780bb647c9c5823b8d16ffec4f4	31	9	11	21	8	42	0	7	20	42	9	14	30	21	0	9	9	71	16	11	25	0	0	14	22	6	16	0	43	0	19	0	0	17	25	24	27	11	0	8	38	43	0	6	36	27	0	0	31	61	13	19	149	29	0	25	0	45	27	11	17	134	44	25	82	189	0	44	29	58	11	27
b7bd36e55301494bb3345b6ce34aa28bbae89b85	34	24	32	22	10	15	0	47	9	119	45	12	22	38	82	32	206	106	78	98	180	32	0	89	0	0	22	13	14	30	0	0	14	30	0	10	0	6	0	0	7	24	7	14	27	31	8	85	0	0	0	0	0	0	0	11	0	2	9	0	0	23	0	0	8	29	5	6	6	8	6	27
65ca4c4b7c45acaf0a7ed047effc47909833490b	0	1616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
34020b44167646a2f5c2aab28a50be04e569df66	0	618	0	0	244	0	0	0	0	0	0	0	3	0	2	0	0	56	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	84	0	0	0	0	0	0	0	41	74	0	0	0	0	0	0	0	35	103	0	81	0	0	0	0	0	0	80	225	0	30	0	0
