Feature ID	Taxon
f5856d4688115b5f1e0bce532faf65fe5db0b348	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__persicina
6ae753af5e35df1d68bdf36623e908442760ee87	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subdensifolia
4b105e0504bf9811c0e8152e9eb5aa8ba6f2e31e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__modesta
82eb87f908e447ffe36850f8bd49c2fdf84b61fd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__rhodocephala
5f6fce56b22e0b3372a7edea8ea8cc6fad85cece	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
a536c0b71d07dca1c2b6212526711345aae7579b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
284e39d57ef762c4f8565d7892e589e6c24e1467	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;NA
642dd814e308f4a39cbb5763ef91cefc269f56cd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__modesta
840f94f41348c5294ad8a9eefab8e9e78576742f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__risigallina
d05d3e7eba90109dff78b3c58a0c72ae0c42eeee	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__romellii
9c909b123d7e5080b1b89c7221de775e616d4543	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__cremicolor
e61e0fe00753148b76c3da751d54b6f3d70584e5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__geophylla
d1ba0e75a64356d1ae1614bfddac1d4157a1c31d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__agglutinata
da6a0cb6135e94ec466bd865273a1176ce508b17	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__perchtana
461fff306a0fdcccc3d0f84331a28a75a6f95515	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia;s__amoeboidea
94a75775137fe4fda385262fa6f66ae10c8d0e4d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
2a8bc1062927395f4b7bd505b4df16894ad993ff	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__quietiodor
4d7330cbdde85e4c1f3478a78b5dea0b24a1b613	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__variata
b15caae3504db2c344601af29b287bfbe68c79c1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__radicis
ea968447dc9c8243eac8aea9765c03d80785c6fb	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;NA
3c2dcbd4fb20a1afc7cad7325cd16ccf4cfe58cd	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
cc85259f14fc742e8242c6928418f063c301f416	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
7cdc2b6a85cf2b8c60ab2a3828cd7953adda8748	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;NA
fb6d4769253ecec60a2869fe06f3502a0b713a42	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Phaeocollybia;NA
08db5c550c72333381a06d8a1512fb7b61aae24b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__costaricense
0ded84686bb91198cc305620258dee8b0e1c625f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__assimilata
528c96de3d14f319993e2bd9d5a450fa46a6b52a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Hemimycena;NA
2b7d861e6345cd398be5faa39bf5585a56498ad6	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma;NA
9e9ab4004504b74021744dd6264d733e5dbf8b06	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__subdensifolia
2bbccd9b53cd1f30e77eab5dd973c529bb02a117	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__chaetospira
cce79d917bf25f2c76088872e708a2eb091909e8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__occulta
00ee47e442c461a57e46183829dfbd430f4a7a83	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__suecica
4a0b6a2c6574d8858a01871c8c159e575accf1df	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__galzinii
8846f5a8a3e96537a41fb4a4125c630d33d93f58	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__comis
79dadc8bdc00fef1d824b3d0bad58e8bec0595a0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;NA
9ad681ae9bd25fefbefb670883bc898dff9becaa	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__geophylla
1a43d14299f2cab93d41d98a7a1b2c45a981d700	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;NA
8aea035c156f3dbbf253a71e250099efa18a1075	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__cryptocystis
