#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
9db591cfaf2ce8bc8ab75a1072a0b7bf16b40d89	4	0	238	0	0	0	85	0	0	0	55	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	512	0	53	167	0	476	0	96	94	0	52
2a02fdbbe989e3512a206fdaf7366df4b69123ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	19	95	0	130	0	0	225	0	0	0	83	0	440	0	0	151	0	0	0	30	84	0	0	0	0	64	199	0	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08cd13d5b3e81ad61281e56d8883c42619f9cba4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	28	11	22	1064	847	0	0	0	0	0	0	0	0	82	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0adb349d9e9a8741181a0898b4da82e3f1a08eeb	0	0	0	0	0	0	0	0	0	0	0	2151	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cff1c593856278e585b47e5f289e135ecd5a384d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	400	37	0	0	0	0	232	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1125086aac59f3b34b05c16a1a3415ad9ae48f2f	18	15	28	35	0	30	0	6	7	86	0	45	0	194	0	0	7	0	0	0	0	14	0	0	60	0	0	7	59	0	0	0	0	0	68	27	72	67	0	15	67	21	0	17	37	0	0	25	72	58	13	48	19	22	0	0	34	86	0	9	0	105	70	0	54	142	7	114	31	37	23	42
3d5b0b66643e2976f7af47357bba564769480ebe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f2100dbfc99b33b22102c4d2fc2a05be96e8c2e4	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	57	0	196	0	0	34	0	143	0	0	0	0	11	0	176	0	0	0	0	731	0	28	0	0	29	0	0	109	28	0	108	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9ddb57d118724693b45c507418189d39a012f1ce	0	0	0	0	0	0	0	0	0	0	0	1891	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9c2324a1065f2d13286d29b007c34d4f1a209cd7	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	36	0	0	0	0	24	206	0	0	0	0	0	0	265	0	539	0	144	0	0	23	65	0	0	0	47	276	0	0	79	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e41559566ddf1c3330f291ffba8e9d5013720f58	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	339	0	159	0	0	0	0	0	0	969	0	135	5	110	0	17	0	12	0	10	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d72f88ee24f5d9e935c696910fb8c59f19b3eff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	190	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	513	863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56b2b434fa7fb2359189828dccc686b2bfd8b522	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	115	21	0	0	0	118	266	48	0	0	15	0	18	0	66	0	882	0	13	0	0	0	16	117	33	17	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f0188607a8f27d22af69a20fc984783b88a000fa	0	0	0	0	46	0	0	0	0	0	0	0	0	75	0	0	0	0	0	27	71	0	13	53	49	91	0	87	89	0	0	0	0	0	370	17	163	12	43	44	24	162	46	0	53	88	25	0	39	35	11	0	0	0	0	0	21	0	0	0	0	0	0	0	0	20	0	40	0	0	0	0
04eb00bd86afc4371432dd92812e959f9ac0c17e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1731	0	0	0	0	0	10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f87693cd5d8a87057c5a63dfefdecbc3a6d205f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	174	0	0	0	0	0	41	0	0
e9cc95d98ec00323d8dab985bbec8a67ce0038db	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	561	0	0	0	0	0	0	0	0	0	0	30	0	0	34	0	0	0	12	0	0	169	0	0	266	287	0	0	0	33	0	0	34	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d031552aad15bb85bac5e6bd13449a7cbc262224	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	139	0	0	0	0	683	0	0	0	0	0	0	0	24	239	0	0	0	0	8	0	7	0	161	0	0	0	0	0	6	181	3	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b08e1bb25879b1e6cfc23303aa5eafd531f40d8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1654	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b5b9bf6ebb6499e3cce3d5eadc24f5cf01f01903	228	0	196	352	0	0	3	77	9	59	57	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
d772d88bb4b9b140fb8796cb9c99aca2096ad9c5	0	582	0	0	232	0	10	0	0	64	0	0	0	26	0	56	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	29	0	30	0	92	31	0	0	64	0	0	6	0	0	0	0	0	0	0	0	120	0	7	0	14	0	0	26	0	0	0	0	0	0	0	153	0	0	14	0
66cd104b0295bee83356efadca0fe28f83ac1081	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	92	0	24	0	0	0	0	20	0	0	0	32	20	197	63	0	303	0	9	24	0	0	5	76	5	0	96	0	147	0	0	0	0	120	144	31	7	0	0	0	0	0	0	0	0	0	0	0
745dfd8d8abdb9a611d6f21c61ba47954395191a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	434	0	0	14	0	0	79	0	851	0	14	0	16	0	10	0	21	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
da69134eb5ae7cdfbc08c3e18de5a5ea60cdfc08	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	12	0	595	0	561	0	0	0	2
3596573aca41d4541ac8b86b4408d032c5a93851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0
fe1dd2c83d3a426bbe7129492cc998d1b2e5fd8a	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b099c486a2ed31b65b9c005ba2928dc782efab4a	0	9	0	7	13	15	0	0	8	19	0	29	19	57	0	72	27	211	46	73	24	25	0	285	0	0	0	48	9	4	0	0	0	0	48	0	6	8	13	39	54	121	0	0	55	9	0	17	11	13	5	0	58	0	0	0	0	3	0	0	0	0	0	0	0	2	0	9	0	0	0	0
e21dca9514b52964471da446faa6d237b1658f0a	0	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
5817c7a6cd59ad4b7fba62fd29de5c075ba905cf	0	0	0	0	56	0	0	0	97	434	0	0	0	54	0	24	0	0	0	0	45	0	0	0	0	22	0	103	0	0	0	0	20	0	0	0	46	24	0	0	39	0	0	0	0	0	0	32	0	110	0	0	22	0	0	0	81	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0
6797326962e76c138ad55f407d955187b182e11b	0	461	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	41	0	90	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	32	0	33	51	0	0	0	0	0	0	0	0	84	0	58	0	0	0	0	0	0	59	179	0	24	0	0
23d3b11367dc52d2a9ab949af7537ee41582145d	0	0	0	0	0	3	0	143	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	246	20	0	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	127	6	496	0	0
